date,mean
2025-10-28,1.37
2025-10-29,1.4
2025-10-30,1.3
2025-10-31,0.86
2025-11-01,0.98
2025-11-02,1.53
2025-11-03,1.77
2025-11-04,1.9
2025-11-05,1.53
2025-11-06,1.16
2025-11-07,1.16
2025-11-08,1.36
2025-11-09,1.3
2025-11-10,0.81
2025-11-11,1.17
2025-11-12,1.26
2025-11-13,1.26
2025-11-14,0.76
2025-11-15,0.68
2025-11-16,0.68
2025-11-17,0.91
2025-11-18,1.31
2025-11-19,0.87
2025-11-20,1.05
2025-11-21,1.24
2025-11-22,1.14
2025-11-23,0.89
2025-11-24,0.74
2025-11-25,1.19
2025-11-26,0.98
2025-11-27,1.01
2025-11-28,0.89
2025-11-29,0.78
2025-11-30,1.18
2025-12-01,1.09
2025-12-02,1.09
2025-12-03,0.76
2025-12-04,1.03
2025-12-05,0.58
2025-12-06,0.84
2025-12-07,0.75
2025-12-08,0.75
2025-12-09,0.74
2025-12-10,0.65
2025-12-11,0.66
2025-12-12,0.47
2025-12-13,1.12
2025-12-14,1.17
2025-12-15,0.56
2025-12-16,0.95
2025-12-17,0.75
2025-12-18,0.75
2025-12-19,0.7
2025-12-20,0.67
2025-12-21,0.54
2025-12-22,0.61
2025-12-23,0.69
2025-12-24,0.77
2025-12-25,0.87
2025-12-26,0.69
2025-12-27,1.18
2025-12-28,0.91
2025-12-29,0.79
2025-12-30,0.69
2025-12-31,0.81
2026-01-01,0.67
2026-01-02,0.78
2026-01-03,0.66
2026-01-04,0.96
2026-01-05,1.21
2026-01-06,0.99
2026-01-07,0.63
2026-01-08,0.45
2026-01-09,0.9
2026-01-10,0.73
2026-01-11,0.56
2026-01-12,0.7
